original_text	translation_ko
11. Normal setup is now conducted, with the players placing Influence on the board per the standard setup rules, and modified by the results of the Crises. All extra influence granted from Crises is in addition to that normally received in setup; all influence reduction is taken from that normally received in setup.	11. 이제 일반 준비를 진행하며
11. Normal setup is now conducted, with the players placing Influence on the board per the standard setup rules, and modified by the results of the Crises. All extra influence granted from Crises is in addition to that normally received in setup; all influence reduction is taken from that normally received in setup.<br><br>	11. 이제 일반 준비를 진행하며
110 - Optional	110 - 선택 규칙
1945 UK ELECTION	1945년 영국 총선
1945 UK Election	1945년 영국 총선
1:   Ben-Gurion coalition shaky. Apply the 2-3 result; USSR receives 2 Influence in the Middle East	1: 벤구리온 연정이 흔들린다. 2-3 결과를 적용하고 소련은 중동에서 영향력 2를 얻는다.
1:   FDR attends Potsdam in poor health; misreads Stalin's intentions.	1: 건강이 좋지 않은 루스벨트가 포츠담에 참석해 스탈린의 의도를 오판한다.
1:   Labour wins in a huge landslide; Tories fail to reach 100 seats in the Commons.	1: 노동당이 압승을 거두고 보수당은 하원 100석 확보에도 실패한다.
1:   Sino-Soviet relations remain cordial, even if strained on occasion. Remove Ussuri River Skirmish from the game.\n2/3: US aid slow to arrive; Huaihai campaign knocks out Nationalists.	1: 중소 관계는 때때로 긴장되더라도 우호적으로 유지된다. '우수리강 충돌' 카드를 게임에서 제거한다.\n2/3: 미국의 지원이 늦게 도착하고 화이하이 전역이 국민당을 무너뜨린다.
1:   Soviets advance past Elbe. Apply the 2-3 result, and the USSR receives 1 Influence in West Germany and 1 in Austria during setup.\n2/3: Wehrmacht collapses; Soviets overrun Eastern Europe before Christmas.	1: 소련군이 엘베강을 넘어 진격한다. 2-3 결과를 적용하고, 소련은 초기 배치 때 서독에 영향력 1, 오스트리아에 영향력 1을 받는다.\n2/3: 국방군이 붕괴하고 소련군은 크리스마스 전에 동유럽을 휩쓴다.
1:   Soviets invade Manchuria and Korea in early 1945. Apply the 2-3 result. Then, move the US/Japan Mutual Defense Pact card to the Mid War deck and add 1 USSR Influence in each of Japan and South Korea during setup.\n2/3: "Committees" penetrate southern Korea. Soviets receive 1 Influence in South Korea during setup.\n4/5: Soviets declare was on Japan in August 1945. No effect.\n6:   Japan surrenders after Hiroshima bomb; Stalin reins in surrogates.	1:   소련이 1945년 초 만주와 한반도를 침공한다. 2-3 결과를 적용한다. 그런 다음 "미일 상호방위조약" 카드를 중기 전쟁 덱으로 옮기고, 준비 단계에서 일본과 남한에 소련 영향력 1씩을 추가한다.\n2/3: "위원회"가 한반도 남부에 침투한다. 준비 단계에서 소련은 남한에 영향력 1을 받는다.\n4/5: 소련이 1945년 8월 일본에 선전포고한다. 효과 없음.\n6:   히로시마 원폭 투하 이후 일본이 항복하고, 스탈린은 대리 세력을 억제한다.
2 Op AI Proxy	2 작전치 AI 대리 카드
2 Op Proxy.  For AI Use Only.	2 작전치 대리 카드. AI 전용.
2 VPs for Control of Thailand	태국을 지배하면 2 승점
2. Each player should now receive their five Statecraft cards.	2. 각 플레이어는 이제 국정 카드 5장을 받는다.
2. Each player should now receive their five Statecraft cards.<br><br>	2. 각 플레이어는 이제 국정 카드 5장을 받는다.
3 Op AI Proxy	3 작전치 AI 대리 카드
3 Op Proxy.  For AI Use Only.	3 작전치 대리 카드. AI 전용.
3. The six Crisis cards are separated into two piles of three each. The first pile contains V-E Day, Yalta and Potsdam, and 1945 Election. The second contains Israel, V-J Day, and Chinese Civil War. Chinese Civil War is not included if you are playing with the Chinese Civil War variant from the first deluxe edition.  The piles are shuffled.	3. 여섯 장의 위기 카드를 세 장씩 두 더미로 나눈다. 첫 번째 더미에는 유럽 전승일, 얄타와 포츠담, 1945년 선거가 들어간다. 두 번째 더미에는 이스라엘, 대일 전승일, 중국 내전이 들어간다. 첫 번째 디럭스 에디션의 중국 내전 변형 규칙을 사용한다면 중국 내전 카드는 포함하지 않는다. 이후 더미를 섞는다.
3. The six Crisis cards are separated into two piles of three each. The first pile contains V-E Day, Yalta and Potsdam, and 1945 Election. The second contains Israel, V-J Day, and Chinese Civil War. Chinese Civil War is not included if you are playing with the Chinese Civil War variant from the first deluxe edition.  The piles are shuffled.<br><br>	3. 여섯 장의 위기 카드를 세 장씩 두 더미로 나눈다. 첫 번째 더미에는 유럽 전승일, 얄타와 포츠담, 1945년 선거가 들어간다. 두 번째 더미에는 이스라엘, 대일 전승일, 중국 내전이 들어간다. 첫 번째 디럭스 에디션의 중국 내전 변형 규칙을 사용한다면 중국 내전 카드는 포함하지 않는다. 이후 더미를 섞는다.
4 Op AI Proxy	4 작전치 AI 대리 카드
4 Op Proxy.  For AI Use Only.	4 작전치 대리 카드. AI 전용.
5. Each player now selects one of their Statecraft cards to modify the Crisis card results.	5. 각 플레이어는 이제 자신의 국정 카드 중 하나를 골라 위기 카드 결과를 수정한다.
5. Each player now selects one of their Statecraft cards to modify the Crisis card results.<br><br>	5. 각 플레이어는 이제 자신의 국정 카드 중 하나를 골라 위기 카드 결과를 수정한다.
7. Roll a die. Any modifiers from the Statecraft cards (if any) are applied. Cross-reference the result on the face-up Crisis card, and the indicated effects (if any) are implement in the game. We recommend placing bonus Influence in or near the areas on the map where it will go.<br><br>Note that the Statecraft cards that give modifiers can only be used once; the dummy cards can be used multiple times.	7. 주사위를 굴린다. 국정 카드의 수정치가 있다면 적용한다. 앞면으로 놓인 위기 카드에서 결과를 대조하고
7. Roll a die. Any modifiers from the Statecraft cards (if any) are applied. Cross-reference the result on the face-up Crisis card, and the indicated effects (if any) are implement in the game. We recommend placing bonus Influence in or near the areas on the map where it will go.<br><br>Note that the Statecraft cards that give modifiers can only be used once; the dummy cards can be used multiple times.<br><br>	7. 주사위를 굴린다. 국정 카드의 수정치가 있다면 적용한다. 앞면으로 놓인 위기 카드에서 결과를 대조하고
8. Steps 4-7 are repeated for the rest of the cards in the first pile; then again for the cards in the second pile.	8. 4-7단계를 첫 번째 더미의 나머지 카드들에 반복 적용한 뒤, 두 번째 더미에도 같은 절차를 반복한다.
8. Steps 4-7 are repeated for the rest of the cards in the first pile; then again for the cards in the second pile.<br><br>	8. 4-7단계를 첫 번째 더미의 나머지 카드들에 반복 적용한 뒤, 두 번째 더미에도 같은 절차를 반복한다.
8.1 Once all of the Crisis cards have been resolved, Statecraft cards play no further role in the game and are removed from play.	8.1 모든 위기 카드가 해결되면 국정 카드는 더 이상 게임에서 역할을 하지 않으며 게임에서 제거된다.
8.1 Once all of the Crisis cards have been resolved, Statecraft cards play no further role in the game and are removed from play.<br><br>	8.1 모든 위기 카드가 해결되면 국정 카드는 더 이상 게임에서 역할을 하지 않으며 게임에서 제거된다.
8.2 Modifications are applied to the event deck as indicated by Crisis results, e.g. the ‘6’ result from 1945 UK General Election. Where a Crisis result indicates that a card’s event has no effect, it remains in the deck and is removed normally should its event be triggered. The event simply does nothing when triggered.	8.2 위기 결과에 따라 이벤트 덱이 수정된다. 예를 들어 1945년 영국 총선의 '6' 결과가 그렇다. 위기 결과가 어떤 카드의 이벤트가 효과 없음을 나타내더라도 그 카드는 덱에 남고, 이벤트가 발동되면 평소처럼 제거된다. 단지 발동 시 아무 효과도 일어나지 않을 뿐이다.
8.2 Modifications are applied to the event deck as indicated by Crisis results, e.g. the ‘6’ result from 1945 UK General Election. Where a Crisis result indicates that a card’s event has no effect, it remains in the deck and is removed normally should its event be triggered. The event simply does nothing when triggered.<br><br>	8.2 위기 결과에 따라 이벤트 덱이 수정된다. 예를 들어 1945년 영국 총선의 '6' 결과가 그렇다. 위기 결과가 어떤 카드의 이벤트가 효과 없음을 나타내더라도 그 카드는 덱에 남고, 이벤트가 발동되면 평소처럼 제거된다. 단지 발동 시 아무 효과도 일어나지 않을 뿐이다.
9. If either of the Yalta and Potsdam results that grant choice of a card for the starting hand was rolled, the applicable player now chooses that card.	9. 얄타와 포츠담 결과 중 시작 손패로 카드를 선택하게 해 주는 결과가 나왔다면 해당 플레이어가 이제 그 카드를 선택한다.
9. If either of the Yalta and Potsdam results that grant choice of a card for the starting hand was rolled, the applicable player now chooses that card.<br><br>	9. 얄타와 포츠담 결과 중 시작 손패로 카드를 선택하게 해 주는 결과가 나왔다면 해당 플레이어가 이제 그 카드를 선택한다.
90 Minutes	90분
: ACHIEVEMENTS :	: 업적 :
: Avatar Select :	: 아바타 선택 :
: Card Gallery :	: 카드 갤러리 :
: Create Account :	: 계정 생성 :
: Create Offline Game :	: 오프라인 게임 생성 :
: Credits :	: 제작진 :
: Find Games :	: 게임 찾기 :
: In-App Store :	: 인앱 상점 :
: Offline Game List :	: 오프라인 게임 목록 :
: Online Create Game :	: 온라인 게임 생성 :
: Online Game List :	: 온라인 게임 목록 :
: Online Login :	: 온라인 로그인 :
: Profile & Friends :	: 프로필 & 친구 :
: Profile & Game Stats :	: 프로필 & 게임 통계 :
: Quick Match :	: 빠른 대전 :
: Rulebook :	: 룰북 :
: Settings :	: 설정 :
: View Game :	: 게임 보기 :
:|IN-APP PURCHASE|:	:|인앱 구매|:
:|PROFILE & FRIENDS|:	:|프로필 & 친구|:
:|PROFILE & STATS|:	:|프로필 & 통계|:
<b>In Early or Mid War:</b> Remove 1 USSR Influence from three countries in Eastern Europe.<br><br><b>In Late War:</b> Remove 2 USSR Influence from three countries in Eastern Europe.	<b>초기 또는 중기 전쟁:</b> 동유럽 세 국가에서 소련 영향력 1씩 제거한다.<br><br><b>후기 전쟁:</b> 동유럽 세 국가에서 소련 영향력 2씩 제거한다.
<b>In Early or Mid War:</b> Remove 1<br>USSR Influence from three<br>countries in Eastern Europe.<br><br><b>In Late War:</b> Remove 2 USSR Influence from three countries in<br>Eastern Europe.	<b>초기 또는 중기 전쟁:</b> 동유럽 세 국가에서 소련 영향력 1씩 제거한다.<br><br><b>후기 전쟁:</b> 동유럽 세 국가에서 소련 영향력 2씩 제거한다.
<color=white><i>The China Card</i></color> does not count towards the hand limit. When <color=white><i>The China Card</i></color> is played, it is immediately handed to your opponent face down. It may not be played again by your opponent this turn. At the end of the turn, it is flipped face up, ready to be played. To receive the China Card's +1 bonus to <color=white>Operations</color>, all points must be spent in Asia or Southeast Asia. Play of <color=white><i>The China Card</i></color> can never be compelled by events or a shortage of cards during the action rounds.	<color=white><i>중국 카드</i></color>는 손패 한도에 포함되지 않는다. <color=white><i>중국 카드</i></color>가 플레이되면 즉시 상대에게 뒷면으로 넘어간다. 상대는 같은 턴에 다시 플레이할 수 없다. 턴 종료 시 앞면으로 뒤집혀 다시 플레이 가능 상태가 된다. 중국 카드의 <color=white>작전치</color> +1 보너스를 받으려면 모든 작전치를 아시아 또는 동남아시아에 사용해야 한다. <color=white><i>중국 카드</i></color>는 이벤트나 카드 부족 때문에 강제로 플레이될 수 없다.
<color=white>> F. Flip China Card :</color> If <color=white><i>The China Card</i></color> was passed face down during the turn, it will be flipped up for use.<br><br><color=white>> G. Turn Announcements:</color> The game announces the advance to the next turn, displaying key round information.<br><br><color=white>> H. Final Scoring :</color> At the end of turn 10, the game will calcuate the Final Scoring.	<color=white>> F. 중국 카드 뒤집기 :</color> 턴 동안 <color=white><i>중국 카드</i></color>가 뒷면으로 넘어갔다면 사용 가능하도록 앞면으로 뒤집는다.<br><br><color=white>> G. 턴 안내 :</color> 게임은 다음 턴으로의 진행을 알리며 주요 라운드 정보를 표시한다.<br><br><color=white>> H. 최종 점수 계산 :</color> 10턴 종료 시 게임은 최종 점수 계산을 수행한다.
<color=white>Influence Markers</color> are placed one at a time, and must be placed with or adjacent to friendly markers, that were in place at the start of the phasing player’s <color=white>Action Round</color>. It costs one (1) Operations point to place an Influence marker in a country that is friendly Controlled or Uncontrolled. It costs two (2) Operations points to place an <color=white>Influence Marker</color> in an enemy-controlled country. If a country’s Control status changes while placing <color=white>Influence Markers</color>, the additional marker's costs adjust accordingly for future placement for that <color=white>Action Round</color>.	<color=white>영향력 마커</color>는 한 번에 하나씩 놓으며, 차례 플레이어의 <color=white>행동 라운드</color> 시작 시점에 이미 놓여 있던 자기 마커와 함께 있거나 인접한 곳에 배치해야 한다. 자기 지배 국가나 미지배 국가에 영향력 마커를 놓는 데는 작전치 1이 든다. 적 지배 국가에 <color=white>영향력 마커</color>를 놓으려면 작전치 2가 든다. 영향력 배치 도중 국가의 지배 상태가 바뀌면, 그 <color=white>행동 라운드</color>의 이후 배치 비용도 그에 맞게 조정된다.
<color=white>Realignment</color> rolls are used to reduce enemy <color=white>Influence</color> in a country. Your opponent must have at least one (1) <color=white>Influence</color> Marker in the target country. Realignments are attempted one at a time and cost one (1) <color=white>Operations</color> point per attempt. Each player rolls a die and the high roller may remove the difference between the rolls from their opponent’s <color=white>Influence</color> in the target country. No <color=white>Influence</color> is ever added to a country as a result of a <color=white>Realignment</color> roll. Each player modifies their roll by:<br><br>> +1 for each adjacent controlled country<br>> +1 if they have more Influence in the target country than their opponent<br>> +1 if your superpower is adjacent to the target country	<color=white>재편성</color> 굴림은 국가 내 적의 <color=white>영향력</color>을 줄이는 데 사용된다. 대상 국가에는 상대의 <color=white>영향력</color> 마커가 최소 1개 있어야 한다. 재편성은 한 번에 한 개씩 시도하며 시도마다 <color=white>작전치</color> 1이 든다. 각 플레이어는 주사위를 굴리고 더 높은 쪽은 두 굴림의 차이만큼 상대의 <color=white>영향력</color>을 대상 국가에서 제거할 수 있다. <color=white>재편성</color> 굴림 결과로 국가에 새로운 <color=white>영향력</color>이 추가되지는 않는다. 각 플레이어는 다음 조건으로 굴림을 수정한다:<br><br>> 인접한 지배 국가마다 +1<br>> 대상 국가에서 상대보다 영향력이 많으면 +1<br>> 자기 초강대국이 대상 국가에 인접하면 +1
<color=white>Special US Condition:</color> For the purposes of playing <color=white>Ussuri River Skirmish</color> or <color=white>Nixon Plays the China Card</color> as events, the US is deemed to be in possession of the <color=white>China Card</color> if the Soviet Player has not yet placed the <color=white>3 Influence Points</color> on the Chinese Civil War space.	<color=white>미국 특수 조건:</color> <color=white>우수리강 충돌</color>이나 <color=white>닉슨의 중국 카드 플레이</color>를 이벤트로 사용할 때, 소련 플레이어가 아직 중국 내전 공간에 <color=white>영향력 3</color>을 놓지 않았다면 미국이 <color=white>중국 카드</color>를 보유 중인 것으로 간주한다.
<i><cspace=-.03em>Play after 'Marshall Plan' or 'Warsaw Pact.'</cspace></i><br><br>USSR player may no longer make<br>Coup or Realignment rolls in any<br>US controlled countries in Europe. <br><br>US controlled countries in Europe<br>may not be attacked by play of the<br> <i>Brush War</i> event.	<i><cspace=-.03em>'마셜 계획' 또는 '바르샤바 조약' 이후 플레이.</cspace></i><br><br>소련 플레이어는 더 이상 유럽의 미국 지배 국가에서<br>쿠데타나 재편성 굴림을 할 수 없다. <br><br>유럽의 미국 지배 국가는<br><i>국지전</i> 이벤트로 공격받을 수 없다.
<i>Begins the game with the USSR player.</i><br><br>+1 Operations value when all points are used in Asia. Pass to opponent after play.<br><br>+1 VP for the player holding this card at the end of Turn 10.<br><br><i>Cancels effect of 'Formosan Resolution' if this card is played by the US player.	소련 플레이어가 이 카드를 가지고 게임을 시작한다.\n모든 작전치를 아시아에 사용할 때 작전치가 +1 된다. 플레이 후 상대에게 넘긴다.\n10턴 종료 시 이 카드를 보유한 플레이어는 +1 승점을 얻는다.\n미국 플레이어가 이 카드를 플레이하면 '포르모사 결의안'의 효과를 취소한다.
<i>OPEC</i> event is no longer playable.<br>US may play 8 cards this turn.	<i>오펙</i> 이벤트는 더 이상 플레이할 수 없다.<br>미국은 이번 턴에 카드 8장을 플레이할 수 있다.
<i>Playable as an event only if 'John Paul II Elected Pope' is in effect.</i><br><br>Add 3 Influence in Poland.	<i>'요한 바오로 2세 선출'이 발동 중일 때만 이벤트로 플레이할 수 있다.</i><br><br>폴란드에 영향력 3을 추가한다.
<i>Special US Condition:</i> For the purposes of playing Ussuri River Skirmish or Nixon Plays the China Card as events, the US is deemed to be in possession of the China Card if the Soviet Player has not yet placed the 3 Influence Points on the Chinese Civil War space.	<color=white>미국 특수 조건:</color> <color=white>우수리강 충돌</color>이나 <color=white>닉슨의 중국 카드 플레이</color>를 이벤트로 사용할 때, 소련 플레이어가 아직 중국 내전 공간에 <color=white>영향력 3</color>을 놓지 않았다면 미국이 <color=white>중국 카드</color>를 보유 중인 것으로 간주한다.
<i>Unplayable as an event if 'The Iron Lady' is in effect.</i><br><br>Remove US Influence in Western Europe by a total of 3 Influence points, removing no more than 2 per country.	<i>'철의 여인'이 발동 중이면 이벤트로 플레이할 수 없다.</i><br><br>서유럽의 미국 영향력 총 3을 제거한다. 한 국가당 최대 2까지만 제거할 수 있다.
<margin-right=8.5em>The Chinese Civil War game space is considered to be adjacent to the Soviet Union, and only the Soviet Union. The space is considered to be in Asia, but not in South East Asia. It does not affect any Scoring Card. The only action that may be taken on the Chinese Civil War space is the placement of <color=white>Influence Points</color> by the Soviet player. The US player may not use Operations or Events of any kind to affect the Chinese Civil War space. Once the Soviet player has placed </margin><color=white>3 Influence Points</color> on the Chinese Civil War space, it has no further effect. The markers may be returned to the Soviet player’s pool, and the Chinese Civil War space is ignored for the remainder of the game.	<margin-right=8.5em>중국 내전 공간은 소련에만 인접한 것으로 간주된다. 이 공간은 아시아에는 속하지만 동남아시아에는 속하지 않는다. 어떤 점수 카드에도 영향을 주지 않는다. 중국 내전 공간에서 할 수 있는 유일한 행동은 소련 플레이어가 <color=white>영향력</color>을 배치하는 것이다. 미국 플레이어는 어떤 종류의 작전이나 이벤트로도 중국 내전 공간에 영향을 줄 수 없다. 소련 플레이어가 중국 내전 공간에 </margin><color=white>영향력 3</color>을 놓으면 더 이상 추가 효과가 없다. 마커는 소련 플레이어의 공급 풀로 되돌릴 수 있고, 그 이후로 중국 내전 공간은 게임 끝까지 무시한다.
<nobr>De-Stalinization*	<nobr>탈스탈린화*
<nobr>Indo-Pakistani</nobr> War	<nobr>인도-파키스탄</nobr> 전쟁
> China	> 중국
> Components	> 구성 요소
> Control	> 지배
> Coup Attempts	> 쿠데타 시도
> Defcon	> 데프콘
> Defcon Status & Military Operations	> 데프콘 단계와 군사 작전
> Event Restrictions	> 이벤트 제한
> Events	> 이벤트
> Game Scenario	> 게임 시나리오
> Impact of Control	> 지배의 영향
> Influence Markers	> 영향력 마커
> Introduction	> 소개
> Military Operations	> 군사 작전
> Operations	> 작전
> Procedure	> 절차
> Realignment Rolls	> 재편성 굴림
> Scoring	> 점수 계산
> Sequence	> 진행 순서
> The Chinese Civil War Space	> 중국 내전 공간
> The Space Race	> 우주 경쟁
> Turn Zero Expansion <	> 턴 제로 확장 <
> Victory	> 승리
>Currently Owned<	>현재 보유 중<
A <color=white>Coup</color> represents operations that change the composition of a target country’s government. A player attempting a <color=white>Coup</color> does not need to have any <color=white>Influence</color> Markers in the Country; however your opponent must have <color=white>Influence Markers</color> in the target country. To resolve a <color=white>Coup</color> attempt, the game multiplies the <color=white>Stability Number</color> of the target country by two (2), then rolls a die and adds the <color=white>Operations</color> points on the card to it. If the modified roll is greater than this target number the coup is successful. <color=white>Influence Markers</color> equal to the difference from the target country target number are then removed, and the remainder (if any) is added to the friendly <color=white>Influence Markers</color> to make up the difference.	<color=white>쿠데타</color>는 대상 국가의 정권 구성을 바꾸는 작전을 뜻한다. <color=white>쿠데타</color>를 시도하는 플레이어는 해당 국가에 <color=white>영향력</color> 마커가 없어도 되지만
A Pan-Arab Coalition invades Israel. Roll one die and subtract 1 for US Control of Israel and every US-controlled country adjacent to Israel.<br>USSR Victory on modified die roll 4-6.<br>USSR adds 2 Military to Ops Track.<br><br><b>Effects of Victory:</b> USSR gains 2 VP and replaces all US Influence in Israel with USSR Influence.	범아랍 연합이 이스라엘을 침공한다. 주사위를 굴리고 이스라엘의 미국 지배 및 이스라엘에 인접한 각 미국 지배 국가마다 1을 뺀다.<br>수정값 4-6이면 소련 승리.<br>소련은 군사 작전 트랙에 2를 추가한다.<br><br><b>승리 시 효과:</b> 소련은 2 승점을 얻고 이스라엘의 미국 영향력을 모두 소련 영향력으로 교체한다.
A Pan-Arab Coalition invades Israel. Roll one die and subtract 1 for US Control of Israel and for US-controlled country adjacent to Israel. USSR Victory on modified die roll 4-6. USSR adds 2 to Military Ops Track.\nEffects of Victory: USSR gains 2 VP and replaces all US Influence in Israel with USSR Influence.	범아랍 연합이 이스라엘을 침공한다. 주사위 1개를 굴리고, 미국이 이스라엘을 지배하고 있거나 이스라엘에 인접한 국가를 미국이 지배하고 있을 때마다 1을 뺀다. 수정된 주사위 결과가 4-6이면 소련이 승리한다. 소련은 군사작전 수치 2를 얻는다.\n승리 효과: 소련은 2 승점을 얻고, 이스라엘의 미국 영향력을 모두 소련 영향력으로 교체한다.
A player may play a card as an <color=white>Event</color> instead of Operations. If the <color=white>Event</color> is associated with their own Superpower, or is associated with both Superpowers, it takes effect as directed by the card’s text. Some <color=white>Event</color> cards have an underlined title, and this indicates that the effect of those <color=white>Events</color> last for the duration of the game. If an Event on a card becomes unplayable, that card may still be used for its <color=white>Operations</color> value.<br><br><br>	플레이어는 카드를 작전 대신 <color=white>이벤트</color>로 플레이할 수 있다. <color=white>이벤트</color>가 자신의 초강대국 또는 양측 모두와 연관되어 있다면 카드 텍스트에 따라 효과를 적용한다. 일부 <color=white>이벤트</color> 카드는 제목에 밑줄이 있으며
A turn in Twilight Struggle has the following game play steps:<br><br><color=white>A. Improve DEFCON Status<br>B. Deal Cards<br>C. Headline Phase<br>D. Action Rounds<br>E. Check Military Operations Status<br>F. The China Card<br>G. Turn Announcements<br>H. Final Scoring (after Turn 10 only)</color><br><br><color=white>> A. Improve DEFCON Status :</color> If the DEFCON level is lower than 5, the game will raise the DEFCON level by 1.<br><br><color=white>> B. Deal Cards :</color> Each player will receive enough cards to bring their total hand size to 8 on turns 1-3, and to 9 on turns 4-10. <color=white><i>The China Card</i></color> is never included in this total.<br><br><color=white>> C. Headline Phase :</color> Each player secretly selects a card from their hand. Once both players have made their choice, they reveal their cards to each other simultaneously. These <color=white>Headline Cards</color> and their <color=white>Events</color> take place in this phase. To determine which <color=white>Event</color> takes place first, look at the <color=white>Operations</color> value on each card, and the card with the higher value takes effect first. <color=white>Scoring Cards</color> are considered to have a <color=white>Headline Value</color> of zero (0). In the event of a tie, the US player's card will go first.<br><br><color=white>> D. Action Rounds :</color> There are six <color=white>Action Rounds</color> in turns 1-3 and seven action rounds in turns 4-10. Each player alternates playing cards, one per Action Round, for a total of six cards during turns 1-3, and seven cards during turns 4-10. The USSR player always takes their action first, followed by the US player. The player taking their <color=white>Action Round</color> is called the “Phasing Player”. If the player has insufficient cards to take an action for their turn, they must sit out the remaining <color=white>Action Rounds</color>.<br><br><color=white>> E. Check Military Operations Phase :</color> After the cards for a round are played, the game determines if any players are penalized <color=white>Victory Points</color> for failing to perform enough <color=white>Military Operations</color> during their turn. <color=white>Military Operations</color> markers are set back to zero.	황혼의 투쟁의 한 턴은 다음 순서로 진행된다:<br><br><color=white>A. 데프콘 단계 개선<br>B. 카드 배분<br>C. 헤드라인 단계<br>D. 행동 라운드<br>E. 군사 작전 현황 확인<br>F. 중국 카드<br>G. 턴 안내<br>H. 최종 점수 계산(10턴 종료 후에만)</color><br><br><color=white>> A. 데프콘 단계 개선 :</color> 데프콘 단계가 5보다 낮다면 게임은 데프콘을 1 올린다.<br><br><color=white>> B. 카드 배분 :</color> 각 플레이어는 1-3턴에는 손패가 8장이 되도록
A. Improve DEFCON Status	A. 데프콘 단계 개선
A. Improve DEFCON Status:	A. 데프콘 단계 개선:
ABM Treaty	ABM 조약
ACCEPT	확인
ADDITIONAL PROGRAMMING	추가 프로그래밍
ADDITIONAL QA	추가 QA
ADDITIONAL SOUND DESIGN	추가 사운드 디자인
AFRICA SCORING	아프리카 점수 계산
ATTEMPT	시도
ATTEMPT COUP	쿠데타 시도
ATTEMPT REALIGNMENT	재편성 시도
Attempt Realignment in 1 Countries	1개 국가에서 재편성 시도
Attempt Realignment in 2 Countries	2개 국가에서 재편성 시도
Attempt Realignment in 3 Countries	3개 국가에서 재편성 시도
Attempt Realignment in 4 Countries	4개 국가에서 재편성 시도
Attempt Realignment in 5 Countries	5개 국가에서 재편성 시도
AWACS Sale to Saudis	사우디에 대한 AWACS 판매
Accords*	협정*
Account Options	계정 옵션
Account is not yet activated. Please follow the account activation instructions that where sent to your e-mail.	계정이 아직 활성화되지 않았습니다. 이메일로 전송된 계정 활성화 안내를 따라 주세요.
Acheson	애치슨
Achievement Title	업적 제목
Achievement description to unlock goes here. Achievement description to unlock goes here.	여기에 업적 해금 설명이 표시됩니다. 여기에 업적 해금 설명이 표시됩니다.
Achievements	업적
Add 1 US Influence in Panama	Costa Rica
Add 1 US Influence in Panama, Costa Rica, and Venezuela.	파나마, 코스타리카, 베네수엘라에 미국 영향력 1씩을 추가한다.
Add 1 US Influence in Panama,<br>Costa Rica, and Venezuela.	파나마, 코스타리카, 베네수엘라에 미국 영향력 1씩을 추가한다.
Add 1 US Influence in each of four different African and/or Southeast Asian Countries.	서로 다른 네 개의 아프리카 및/또는 동남아시아 국가에 미국 영향력 1씩을 추가한다.
Add 1 US Influence in each of four different African and/or Southeast Asian countries.	서로 다른 아프리카 및/또는 동남아시아 국가 4곳에 미국 영향력 1씩을 추가한다.
